Zakres usługi,Priorytet,Opis warunku prawidłowego
Zdarzenia niestandardowe,niski,Modyfikowanie zdarzeń. Zdarzenia były modyfikowane (nie jest to obligatoryjne)
Tajny klucz API i Measurement protocol,średni,Utworzono tajny klucz API
Implementacja (GTM),Wysoki,GA4 jest wdrożone przy pomocy GTM
Poprawność wdrożenia cross domain tracking,Wysoki,Przekazujemy parametry między domenami
Zbieranie danych przekazywanych przez użytkowników,średni,Usługa jest włączona
Zbieranie szczegółowych danych o lokalizacji i urządzeniu,średni,Usługa jest włączona
Potwierdzenie dotyczące zbierania danych użytkownika,Wysoki,Konto posiada potwierdzone zgody dotyczące zbierania danych
Pomiar zaawansowany,średni,Włączono ustawienia pomiaru zaawansowanego
Włączenie wyszukiwarki w witrynie,średni,Włączono wyszukiwanie w witrynie
,,
Konfiguracja strumienia,,
Tagi nie wymagają uwagi,Wysoki,Na koncie nie ma powiadomień
Konfigurowanie domen,Wysoki,Na koncie poprawnie skonfigurowano cross domain tracking
Połączone tagi witryny,niski,Wykorzystano połączone tagi witryny (nie jest to obligatoryjne)
Zezwalaj na wykorzystywanie danych przekazywanych przez użytkowników,średni,Zezwalaj na wykorzystywanie danych przekazywanych przez użytkowników oraz Automatycznie wykrywaj dane przekazywane przez użytkowników
Rejestrowanie zdarzenia Universal Analytics,niski,Wyłączono rejestrowanie zdarzeń z UA
"Definiowanie ruchu wewnętrznego",niski,Zdefiniowano ruch wewnętrzny na poziomie użytkownika: traffic_type
Lista niechcianych witryn odsyłających,niski,Zdefiniowano niechciane witryny
Wykluczono bramki pocztowe,średni,W niechcianych witrynach zdefiniowano bramki pocztowe
Wykluczono bramki płatności,Wysoki,"W niechcianych witrynach zdefiniowano operatorów płatności: blik, banki, paypal"
Wykluczono cookiebot (i inne boty CMP),Wysoki,Ruch bota Cookiebot został zdefiniowany w GA4 i wykluczony
Czas trwania sesji,średni,Ustawiono standardowy czas trwania sesji
Czas dla zaangażowania,niski,Standarodowo ustawione 10 sekund dla zaangażowania
Zastąp ustawienia plików cookies,niski,W GA4 w ustawieniach tagowania w ustawieniach strumieni danych możemy zmienić domyślny czas przechowywania cookies. Maksymalny okres to 25 miesięcy.
Domyślne ustawienia zgody,średni,"Czy chcesz automatycznie oznaczać dane zbierane za pomocą tagu Google jako informacje, na przekazywanie których użytkownicy wyrazili zgodę?"
Zarządzanie danymi Google,średni,Ustawiono Wszystkie usługi Google (zalecane)
Wyświetl instrukcje dotyczące tagu,niski,Status to: dane napływające
,,
Administracja strumienia,,
Zarządzanie tagiem Google,Wysoki,nie budzi zastrzeżeń
Zduplikowane tagi,Wysoki,Ustawiono  ignorowanie zduplikowanych konfiguracji na stronie
Łączenie tagów,średni,nie budzi zastrzeżeń
Zasięg tagu,Wysoki,raport zasięgu tagów nie budzi zastrzeżeń
,,
Wyświetlanie danych,,
Ustawienie zdarzeń jako konwersji,średni,Ustawiono zdarzenia jako konwersję
Odbiorcy,niski,Utworzono przynajmniej 1 grupę odbiorców
Porównania,niski,Utworzono przynajmniej 1 porównanie
Segmenty,niski,Utworzono przynajmniej 1 segment
Wykorzystano eventy w odbiorcach,niski,Wdrożono poprawnie
Definicje niestandardowe,niski,Wykorzystano definicje niestandardowe
Wymiary niestandardowe,niski,Wykorzystano wymiary niestandardowe
Dane niestandardowe,niski,Wykorzystano dane niestandardowe
Własna grupa kanałów,średni,Na koncie wykorzystuje się własne grupowania kanałów
Ustawienia atrybucji,średni,Rekomendowane na podstawie danych
Przypisanie konwersji w kanałach,średni,Rekomendowane płatne i bezpłatne
Ważność kluczowego zdarzenia,średni,Ustawiono 30 dni
Wszystkie inne kluczowe zdarzenia,średni,"To zależy od przypadku, ale rekomenduję 30 dni"
Sprawdź prośby o usunięcie,niski,Prośby o usunięcie nie budzą zastrzeżeń
Tożsamość na potrzeby raportowania,niski,Rekomeduję mieszany
,,
Połączenie usług,,
AdSense (opcjonalne),Wysoki,Na koncie GA4 jest włączona integracja
Google Ads (obligatoryjne),Wysoki,Na koncie GA4 jest włączona integracja
Włącz reklamy spersonalizowane (obligatoryjne),Wysoki,Włączono funkcję na koncie
Ad Manager (opcjonalne),Wysoki,Na koncie GA4 jest włączona integracja
BQ (obligatoryjne),Wysoki,Na koncie GA4 jest włączona integracja
D&V360(opcjonalne),Wysoki,Na koncie GA4 jest włączona integracja
Floodlight(opcjonalne),Wysoki,Na koncie GA4 jest włączona integracja
Google Play (opcjonalne),Wysoki,Na koncie GA4 jest włączona integracja
SA360 (opcjonalne),Wysoki,Na koncie GA4 jest włączona integracja
Search Console (obligatoryjne),Wysoki,Na koncie GA4 jest włączona integracja
,, 
Raporty,,
Alerty niestandardowe,niski,Wykorzystano alerty niestandardowe są włączone
Custom Insights,Wysoki,"Utworzono Custom Insights, niestandardowe raporty o trendach i anomalii"
Alerty o anomaliach,Wysoki,Na koncie są ustawione alerty dla anomalii dla ruchu i kluczowych zdarzeń
Powiadomienia email o anomaliach,Wysoki,Anomalie mają ustawione powiadomienie email
Utworzono własne eksploracje,średni,Ustawiono więcej jak 1 własną eksplorację
Utworzono własne raporty,średni,Ustawiono więcej jak 1 własny raport
,, 
